x,y
0=1915,367
0.1=1983,367
0.2=2050,367
0.3=2117,367
0.4=2184,367
0.5=2251,367
1=1915,431
1.1=1983,431
1.2=2050,431
1.3=2117,431
1.4=2184,431
1.5=2251,431
2=1915,496
2.1=1983,496
2.2=2050,496
2.3=2117,496
2.4=2184,496
2.5=2251,496
3=1915,558
3.1=1983,558
3.2=2050,558
3.3=2117,558
3.4=2184,558
3.5=2251,558
4=1915,622
4.1=1983,622
4.2=2050,622
4.3=2117,622
4.4=2184,622
4.5=2251,622
5=1915,685
5.1=1983,685
5.2=2050,685
5.3=2117,685
5.4=2184,685
5.5=2251,685
6=1915,748
6.1=1983,748
6.2=2050,748
6.3=2117,748
6.4=2184,748
6.5=2251,748
7=1915,811
7.1=1983,811
7.2=2050,811
7.3=2117,811
7.4=2184,811
7.5=2251,811
8=1915,874
8.1=1983,874
8.2=2050,874
8.3=2117,874
8.4=2184,874
8.5=2251,874
9=1915,937
9.1=1983,937
9.2=2050,937
9.3=2117,937
9.4=2184,937
9.5=2251,937

0=1216,367
0.1=1286,367
0.2=1356,367
0.3=1426,367
0.4=1496,367
0.5=1566,367
0.6=1636,367
0.7=1706,367
0.8=1776,367
1=1216,432
1.1=1286,432
1.2=1356,432
1.3=1426,432
1.4=1496,432
1.5=1566,432
1.6=1636,432
1.7=1706,432
1.8=1776,432
2=1216,495
2.1=1286,495
2.2=1356,495
2.3=1426,495
2.4=1496,495
2.5=1566,495
2.6=1636,495
2.7=1706,495
2.8=1776,495
3=1216,559
3.1=1286,559
3.2=1356,559
3.3=1426,559
3.4=1496,559
3.5=1566,559
3.6=1636,559
3.7=1706,559
3.8=1776,559
4=1216,622
4.1=1286,622
4.2=1356,622
4.3=1426,622
4.4=1496,622
4.5=1566,622
4.6=1636,622
4.7=1706,622
4.8=1776,622
5=1216,685
5.1=1286,685
5.2=1356,685
5.3=1426,685
5.4=1496,685
5.5=1566,685
5.6=1636,685
5.7=1706,685
5.8=1776,685
6=1216,748
6.1=1286,748
6.2=1356,748
6.3=1426,748
6.4=1496,748
6.5=1566,748
6.6=1636,748
6.7=1706,748
6.8=1776,748
7=1216,811
7.1=1286,811
7.2=1356,811
7.3=1426,811
7.4=1496,811
7.5=1566,811
7.6=1636,811
7.7=1706,811
7.8=1776,811
8=1216,874
8.1=1286,874
8.2=1356,874
8.3=1426,874
8.4=1496,874
8.5=1566,874
8.6=1636,874
8.7=1706,874
8.8=1776,874
9=1216,937
9.1=1286,937
9.2=1356,937
9.3=1426,937
9.4=1496,937
9.5=1566,937
9.6=1636,937
9.7=1706,937
9.8=1776,937



1.A=125,1192
1.B=195,1192
1.C=265,1192
1.D=335,1192
2.A=125,1239
2.B=195,1239
2.C=265,1239
2.D=335,1239
3.A=125,1286
3.B=195,1286
3.C=265,1286
3.D=335,1286
4.A=125,1333
4.B=195,1333
4.C=265,1333
4.D=335,1333
5.A=125,1380
5.B=195,1380
5.C=265,1380
5.D=335,1380
6.A=125,1427
6.B=195,1427
6.C=265,1427
6.D=335,1427
7.A=125,1474
7.B=195,1474
7.C=265,1474
7.D=335,1474
8.A=125,1521
8.B=195,1521
8.C=265,1521
8.D=335,1521
9.A=125,1568
9.B=195,1568
9.C=265,1568
9.D=335,1568
10.A=125,1615
10.B=195,1615
10.C=265,1615
10.D=335,1615
